sample_id,model_name,benchmark,run_label,entry_point,prompt_len,n_generations,source_path,candidate_hits,first_hit,any_hit,n_candidates,first_code,first_compiled_ok,first_tests_passed,first_error_type
HumanEval/143,ChatGPT,humaneval_plus,fc,words_in_sentence,636,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def words_in_sentence(sentence):
    assert isinstance(sentence, str), ""invalid inputs""
    assert 1 <= len(sentence) <= 100, ""invalid inputs""
    assert ""  "" not in sentence, ""invalid inputs""
    assert all(word.isalpha() for word in sentence.split("" "")), ""invalid inputs""

    def is_prime(n):
        if n < 2:
            return False
        if n == 2:
            return True
        if n % 2 == 0:
            return False
        d = 3
        while d * d <= n:
            if n % d == 0:
                return False
            d += 2
        return True

    words = sentence.split("" "")
    selected = [w for w in words if is_prime(len(w))]
    return "" "".join(selected)",True,True,
HumanEval/144,ChatGPT,humaneval_plus,fc,simplify,586,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[false],False,False,1,"from math import gcd

def simplify(x, n):
    a_str, b_str = x.split(""/"")
    c_str, d_str = n.split(""/"")
    a = int(a_str)
    b = int(b_str)
    c = int(c_str)
    d = int(d_str)

    g1 = gcd(a, d)
    a //= g1
    d //= g1

    g2 = gcd(c, b)
    c //= g2
    b //= g2

    return (b * d) == 1",True,False,failed_tests
HumanEval/145,ChatGPT,humaneval_plus,fc,order_by_points,414,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[false],False,False,1,"def order_by_points(nums):
    assert all(type(x) == int for x in nums), ""invalid inputs""  # $_CONTRACT_$
    def digit_sum(n):
        n = abs(n)
        s = 0
        while n:
            s += n % 10
            n //= 10
        return s
    indexed = list(enumerate(nums))
    indexed.sort(key=lambda p: (digit_sum(p[1]), p[0]))
    return [v for _, v in indexed]",True,False,failed_tests
HumanEval/146,ChatGPT,humaneval_plus,fc,specialFilter,360,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def specialFilter(nums):
    assert type(nums) == list, ""invalid inputs""
    assert all(type(x) == int for x in nums), ""invalid inputs""

    count = 0
    for n in nums:
        if n <= 10:
            continue
        s = str(abs(n))
        first = ord(s[0]) - 48
        last = ord(s[-1]) - 48
        if (first & 1) and (last & 1):
            count += 1
    return count",True,True,
HumanEval/147,ChatGPT,humaneval_plus,fc,get_max_triples,476,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def get_max_triples(n):
    assert type(n) == int, ""invalid inputs""  # $_CONTRACT_$
    assert n > 0, ""invalid inputs""  # $_CONTRACT_$

    counts = [0, 0, 0]
    for i in range(1, n + 1):
        r = (i * i - i + 1) % 3
        counts[r] += 1

    c0, c1, c2 = counts

    def comb3(x):
        return x * (x - 1) * (x - 2) // 6 if x >= 3 else 0

    return comb3(c0) + comb3(c1) + comb3(c2) + c0 * c1 * c2",True,True,
HumanEval/148,ChatGPT,humaneval_plus,fc,bf,775,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def bf(planet1, planet2):
    planets = (""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune"")
    try:
        i1 = planets.index(planet1)
        i2 = planets.index(planet2)
    except ValueError:
        return ()
    if i1 == i2:
        return ()
    lo, hi = (i1, i2) if i1 < i2 else (i2, i1)
    return planets[lo + 1:hi]",True,True,
HumanEval/149,ChatGPT,humaneval_plus,fc,sorted_list_sum,776,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def sorted_list_sum(lst):
    assert type(lst) == list, ""invalid inputs""
    assert all(type(x) == str for x in lst), ""invalid inputs""
    even_len_words = [s for s in lst if len(s) % 2 == 0]
    return sorted(even_len_words, key=lambda s: (len(s), s))",True,True,
HumanEval/15,ChatGPT,humaneval_plus,fc,string_sequence,219,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def string_sequence(n: int) -> str:
    assert type(n) == int, ""invalid inputs""
    assert n >= 0, ""invalid inputs""
    return "" "".join(map(str, range(n + 1)))",True,True,
HumanEval/150,ChatGPT,humaneval_plus,fc,x_or_y,243,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def x_or_y(n, x, y):
    assert type(n) == int, ""invalid inputs""  # $_CONTRACT_$
    if n < 2:
        return y
    if n == 2 or n == 3:
        return x
    if n % 2 == 0 or n % 3 == 0:
        return y
    i = 5
    step = 2
    while i * i <= n:
        if n % i == 0:
            return y
        i += step
        step = 6 - step
    return x",True,True,
HumanEval/151,ChatGPT,humaneval_plus,fc,double_the_difference,435,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[false],False,False,1,"def double_the_difference(lst):
    assert type(lst) == list, ""invalid inputs""
    total = 0
    for x in lst:
        if isinstance(x, bool):
            continue
        if isinstance(x, int):
            if x > 0 and (x % 2 == 1):
                total += x * x
        elif isinstance(x, float):
            if x > 0 and x.is_integer():
                xi = int(x)
                if xi % 2 == 1:
                    total += xi * xi
    return total",True,False,failed_tests
HumanEval/152,ChatGPT,humaneval_plus,fc,compare,794,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def compare(game, guess):
    assert type(game) == list and type(guess) == list, ""invalid inputs""
    assert all(type(x) == int for x in game), ""invalid inputs""
    assert all(type(x) == int for x in guess), ""invalid inputs""
    assert len(game) == len(guess), ""invalid inputs""
    return [abs(g - h) for g, h in zip(game, guess)]",True,True,
HumanEval/153,ChatGPT,humaneval_plus,fc,Strongest_Extension,1053,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def Strongest_Extension(class_name, extensions):
    best_ext = extensions[0]
    best_strength = sum(1 if c.isupper() else -1 if c.islower() else 0 for c in best_ext)

    for ext in extensions[1:]:
        strength = sum(1 if c.isupper() else -1 if c.islower() else 0 for c in ext)
        if strength > best_strength:
            best_strength = strength
            best_ext = ext

    return f""{class_name}.{best_ext}""",True,True,
HumanEval/154,ChatGPT,humaneval_plus,fc,cycpattern_check,441,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def cycpattern_check(a, b):
    assert isinstance(a, str) and isinstance(b, str), ""invalid inputs""
    if b == """":
        return True
    if len(b) > len(a):
        return False
    bb = b + b
    n = len(b)
    for i in range(n):
        if bb[i:i + n] in a:
            return True
    return False",True,True,
HumanEval/155,ChatGPT,humaneval_plus,fc,even_odd_count,224,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def even_odd_count(num):
    assert type(num) == int, ""invalid inputs""
    n = abs(num)
    if n == 0:
        return (1, 0)
    even = odd = 0
    while n:
        d = n % 10
        if d % 2 == 0:
            even += 1
        else:
            odd += 1
        n //= 10
    return (even, odd)",True,True,
HumanEval/156,ChatGPT,humaneval_plus,fc,int_to_mini_roman,332,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def int_to_mini_roman(number):
    assert type(number) == int, ""invalid inputs""  # $_CONTRACT_$
    assert 1 <= number <= 1000, ""invalid inputs""  # $_CONTRACT_$

    values = [
        (1000, ""M""),
        (900, ""CM""),
        (500, ""D""),
        (400, ""CD""),
        (100, ""C""),
        (90, ""XC""),
        (50, ""L""),
        (40, ""XL""),
        (10, ""X""),
        (9, ""IX""),
        (5, ""V""),
        (4, ""IV""),
        (1, ""I""),
    ]

    n = number
    out = []
    for v, s in values:
        if n <= 0:
            break
        q, n = divmod(n, v)
        if q:
            out.append(s * q)

    return """".join(out).lower()",True,True,
HumanEval/157,ChatGPT,humaneval_plus,fc,right_angle_triangle,383,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def right_angle_triangle(a, b, c):
    assert type(a) in [int, float] and type(b) in [int, float] and type(c) in [int, float], ""invalid inputs""
    assert a > 0 and b > 0 and c > 0, ""invalid inputs""

    sides = sorted([float(a), float(b), float(c)])
    x, y, z = sides

    if x + y <= z:
        return False

    eps = 1e-9
    return abs((x * x + y * y) - (z * z)) <= eps * max(1.0, z * z)",True,True,
HumanEval/158,ChatGPT,humaneval_plus,fc,find_max,465,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def find_max(words):
    best_word = None
    best_unique = -1
    for w in words:
        u = len(set(w))
        if u > best_unique:
            best_unique = u
            best_word = w
        elif u == best_unique:
            if w < best_word:
                best_word = w
    return best_word",True,True,
HumanEval/159,ChatGPT,humaneval_plus,fc,eat,987,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def eat(number, need, remaining):
    assert type(number) == int and type(need) == int and type(remaining) == int, ""invalid inputs""
    assert 0 <= number <= 1000, ""invalid inputs""
    assert 0 <= need <= 1000, ""invalid inputs""
    assert 0 <= remaining <= 1000, ""invalid inputs""

    eaten = need if need <= remaining else remaining
    return [number + eaten, remaining - eaten]",True,True,
HumanEval/16,ChatGPT,humaneval_plus,fc,count_distinct_characters,262,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def count_distinct_characters(string: str) -> int:
    assert isinstance(string, str), ""invalid inputs""  # $_CONTRACT_$
    return len(set(string.casefold()))",True,True,
HumanEval/160,ChatGPT,humaneval_plus,fc,do_algebra,812,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def do_algebra(operator, operand):
    assert type(operator) == list and type(operand) == list, ""invalid inputs""
    assert len(operator) >= 1, ""invalid inputs""
    assert len(operand) == len(operator) + 1, ""invalid inputs""
    assert all(type(x) == int and x >= 0 for x in operand), ""invalid inputs""
    assert all(sgn in [""+"", ""-"", ""*"", ""//"", ""**""] for sgn in operator), ""invalid inputs""
    assert not any([operand[i] == 0 and operator[i-1] == ""//"" for i in range(1, len(operand))]), ""invalid inputs""

    expr = str(operand[0])
    for op, val in zip(operator, operand[1:]):
        expr += op + str(val)
    return eval(expr)",True,True,
HumanEval/161,ChatGPT,humaneval_plus,fc,solve,367,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def solve(s):
    assert isinstance(s, str), ""invalid inputs""
    has_letter = any(c.isalpha() for c in s)
    if not has_letter:
        return s[::-1]
    return """".join(c.swapcase() if c.isalpha() else c for c in s)",True,True,
HumanEval/162,ChatGPT,humaneval_plus,fc,string_to_md5,231,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"import hashlib

def string_to_md5(text):
    assert isinstance(text, str), ""invalid inputs""
    if text == """":
        return None
    return hashlib.md5(text.encode(""utf-8"")).hexdigest()",True,True,
HumanEval/163,ChatGPT,humaneval_plus,fc,generate_integers,293,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def generate_integers(a, b):
    assert type(a) == int and type(b) == int, ""invalid inputs""  # $_CONTRACT_$
    assert a > 0 and b > 0, ""invalid inputs""  # $_CONTRACT_$

    lo, hi = (a, b) if a <= b else (b, a)
    evens = [2, 4, 6, 8]
    return [d for d in evens if lo <= d <= hi]",True,True,
HumanEval/17,ChatGPT,humaneval_plus,fc,parse_music,533,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"from typing import List

def parse_music(music_string: str) -> List[int]:
    assert isinstance(music_string, str), ""invalid inputs""  # $_CONTRACT_$
    assert music_string == """" or all(map(lambda x: x in [""o"", ""o|"", "".|""], music_string.split("" ""))), ""invalid inputs""  # $_CONTRACT_$
    if music_string == """":
        return []
    mapping = {""o"": 4, ""o|"": 2, "".|"": 1}
    return [mapping[token] for token in music_string.split("" "")]",True,True,
HumanEval/18,ChatGPT,humaneval_plus,fc,how_many_times,295,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def how_many_times(string: str, substring: str) -> int:
    assert isinstance(string, str) and isinstance(substring, str), ""invalid inputs""  # $_CONTRACT_$
    assert substring != """", ""invalid inputs""  # $_CONTRACT_$
    count = 0
    start = 0
    while True:
        idx = string.find(substring, start)
        if idx == -1:
            break
        count += 1
        start = idx + 1
    return count",True,True,
