expert,audit_id,sample_id,model_name,model_display_name,benchmark,completeness,efficiency,readability,expert_score
expert_1,EA-001,bird_769,DeepSeek,DeepSeek V3.2,bird,5,5,5,5.0
expert_1,EA-002,bird_990,DeepSeek,DeepSeek V3.2,bird,5,5,5,5.0
expert_1,EA-003,bird_615,DeepSeek,DeepSeek V3.2,bird,4,5,4,4.3333
expert_1,EA-004,bird_794,DeepSeek,DeepSeek V3.2,bird,5,5,5,5.0
expert_1,EA-005,bird_1038,DeepSeek,DeepSeek V3.2,bird,5,5,5,5.0
expert_1,EA-006,bird_840,DeepSeek,DeepSeek V3.2,bird,5,4,5,4.6667
expert_1,EA-007,bird_1184,DeepSeek,DeepSeek V3.2,bird,5,5,4,4.6667
expert_1,EA-008,bird_299,DeepSeek,DeepSeek V3.2,bird,5,5,5,5.0
expert_1,EA-009,bird_147,DeepSeek,DeepSeek V3.2,bird,4,3,4,3.6667
expert_1,EA-010,bird_549,DeepSeek,DeepSeek V3.2,bird,5,5,5,5.0
expert_1,EA-011,bird_1076,ChatGPT,ChatGPT 5.2,bird,5,4,5,4.6667
expert_1,EA-012,bird_206,ChatGPT,ChatGPT 5.2,bird,3,2,2,2.3333
expert_1,EA-013,bird_397,ChatGPT,ChatGPT 5.2,bird,4,5,4,4.3333
expert_1,EA-014,bird_942,ChatGPT,ChatGPT 5.2,bird,5,4,4,4.3333
expert_1,EA-015,bird_1311,ChatGPT,ChatGPT 5.2,bird,2,4,4,3.3333
expert_1,EA-016,bird_1374,ChatGPT,ChatGPT 5.2,bird,5,5,5,5.0
expert_1,EA-017,bird_885,ChatGPT,ChatGPT 5.2,bird,5,5,5,5.0
expert_1,EA-018,bird_795,ChatGPT,ChatGPT 5.2,bird,5,5,5,5.0
expert_1,EA-019,bird_545,ChatGPT,ChatGPT 5.2,bird,5,5,5,5.0
expert_1,EA-020,bird_1176,ChatGPT,ChatGPT 5.2,bird,5,5,5,5.0
expert_1,EA-021,bird_1429,Defog-Llama3-SQLCoder-8B,Defog-Llama3-SQLCoder-8B q4_0,bird,5,4,4,4.3333
expert_1,EA-022,bird_322,Defog-Llama3-SQLCoder-8B,Defog-Llama3-SQLCoder-8B q4_0,bird,5,5,5,5.0
expert_1,EA-023,bird_1405,Defog-Llama3-SQLCoder-8B,Defog-Llama3-SQLCoder-8B q4_0,bird,5,4,4,4.3333
expert_1,EA-024,bird_243,Defog-Llama3-SQLCoder-8B,Defog-Llama3-SQLCoder-8B q4_0,bird,5,4,4,4.3333
expert_1,EA-025,bird_707,Defog-Llama3-SQLCoder-8B,Defog-Llama3-SQLCoder-8B q4_0,bird,5,5,5,5.0
expert_1,EA-026,bird_735,Defog-Llama3-SQLCoder-8B,Defog-Llama3-SQLCoder-8B q4_0,bird,5,5,4,4.6667
expert_1,EA-027,bird_316,Defog-Llama3-SQLCoder-8B,Defog-Llama3-SQLCoder-8B q4_0,bird,5,4,4,4.3333
expert_1,EA-028,bird_574,Defog-Llama3-SQLCoder-8B,Defog-Llama3-SQLCoder-8B q4_0,bird,4,4,4,4.0
expert_1,EA-029,bird_1355,Defog-Llama3-SQLCoder-8B,Defog-Llama3-SQLCoder-8B q4_0,bird,5,4,4,4.3333
expert_1,EA-030,bird_404,Defog-Llama3-SQLCoder-8B,Defog-Llama3-SQLCoder-8B q4_0,bird,5,5,5,5.0
expert_1,EA-031,bird_212,Hrida-T2SQL,Hrida-T2SQL q8_0,bird,3,5,4,4.0
expert_1,EA-032,bird_1194,Hrida-T2SQL,Hrida-T2SQL q8_0,bird,2,4,4,3.3333
expert_1,EA-033,bird_830,Hrida-T2SQL,Hrida-T2SQL q8_0,bird,5,5,4,4.6667
expert_1,EA-034,bird_151,Hrida-T2SQL,Hrida-T2SQL q8_0,bird,5,5,4,4.6667
expert_1,EA-035,bird_657,Hrida-T2SQL,Hrida-T2SQL q8_0,bird,4,4,4,4.0
expert_1,EA-036,bird_605,Hrida-T2SQL,Hrida-T2SQL q8_0,bird,4,4,4,4.0
expert_1,EA-037,bird_121,Hrida-T2SQL,Hrida-T2SQL q8_0,bird,5,5,4,4.6667
expert_1,EA-038,bird_1343,Hrida-T2SQL,Hrida-T2SQL q8_0,bird,5,5,5,5.0
expert_1,EA-039,bird_1495,Hrida-T2SQL,Hrida-T2SQL q8_0,bird,5,5,5,5.0
expert_1,EA-040,bird_946,Hrida-T2SQL,Hrida-T2SQL q8_0,bird,5,5,5,5.0
expert_1,EA-041,bird_760,Arctic-Text2SQL-R1-7B,Arctic-Text2SQL-R1-7B,bird,5,5,5,5.0
expert_1,EA-042,bird_330,Arctic-Text2SQL-R1-7B,Arctic-Text2SQL-R1-7B,bird,4,4,4,4.0
expert_1,EA-043,bird_782,Arctic-Text2SQL-R1-7B,Arctic-Text2SQL-R1-7B,bird,5,5,5,5.0
expert_1,EA-044,bird_940,Arctic-Text2SQL-R1-7B,Arctic-Text2SQL-R1-7B,bird,5,5,5,5.0
expert_1,EA-045,bird_100,Arctic-Text2SQL-R1-7B,Arctic-Text2SQL-R1-7B,bird,5,5,5,5.0
expert_1,EA-046,bird_29,Arctic-Text2SQL-R1-7B,Arctic-Text2SQL-R1-7B,bird,5,5,5,5.0
expert_1,EA-047,bird_669,Arctic-Text2SQL-R1-7B,Arctic-Text2SQL-R1-7B,bird,5,5,5,5.0
expert_1,EA-048,bird_997,Arctic-Text2SQL-R1-7B,Arctic-Text2SQL-R1-7B,bird,5,5,5,5.0
expert_1,EA-049,bird_1422,Arctic-Text2SQL-R1-7B,Arctic-Text2SQL-R1-7B,bird,5,5,5,5.0
expert_1,EA-050,bird_526,Arctic-Text2SQL-R1-7B,Arctic-Text2SQL-R1-7B,bird,5,5,5,5.0
expert_1,EA-051,spider_711,DeepSeek,DeepSeek V3.2,spider,5,5,5,5.0
expert_1,EA-052,spider_669,DeepSeek,DeepSeek V3.2,spider,5,5,5,5.0
expert_1,EA-053,spider_588,DeepSeek,DeepSeek V3.2,spider,5,5,5,5.0
expert_1,EA-054,spider_978,DeepSeek,DeepSeek V3.2,spider,5,5,5,5.0
expert_1,EA-055,spider_345,DeepSeek,DeepSeek V3.2,spider,3,4,3,3.3333
