any_hit,benchmark,candidate_hits,db_id,db_path,difficulty,empty_sql,evidence,first_hit,first_pred_error,first_pred_sql,first_pred_success,gold_error,gold_sql,gold_sql_len,gold_success,model_display_name,model_key,model_name,model_version,n_candidates,n_generations,question,question_len,run_label,sample_id,source_path
True,bird,[true],california_schools,/home/count/code/vkr/data/nl2sql/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`,True,,"SELECT MAX(`Percent (%) Eligible Free (K-12)`) AS HighestEligibleFreeRate
FROM frpm
WHERE `County Name` = 'Alameda'",True,,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,180,True,Arctic-Text2SQL-R1-7B,m2_arctic,Arctic-Text2SQL-R1-7B,latest,1,1,What is the highest eligible free rate for K-12 students in the schools in Alameda County?,90,ea,bird_0,/home/count/code/vkr/results/nl2sql/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260407_005256.jsonl
False,bird,[false],california_schools,/home/count/code/vkr/data/nl2sql/bird/dev_databases/california_schools/california_schools.sqlite,moderate,False,Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`,False,,"SELECT 
    `County Name`, 
    `District Name`, 
    `School Name`, 
    (`Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`) * 100 AS EligibleFreeRate
FROM frpm
WHERE `School Type` = 'Continuation School'
ORDER BY EligibleFreeRate ASC
LIMIT 3",True,,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,280,True,Arctic-Text2SQL-R1-7B,m2_arctic,Arctic-Text2SQL-R1-7B,latest,1,1,Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.,96,ea,bird_1,/home/count/code/vkr/results/nl2sql/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260407_005256.jsonl
False,bird,[false],california_schools,/home/count/code/vkr/data/nl2sql/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,Charter schools refers to `Charter School (Y/N)` = 1 in the table fprm,False,,"SELECT DISTINCT s.Zip
FROM schools AS s
INNER JOIN frpm AS f ON s.CDSCode = f.CDSCode
WHERE s.Charter = 1 AND f.`District Type` = 'Fresno County Office of Education'",True,,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,178,True,Arctic-Text2SQL-R1-7B,m2_arctic,Arctic-Text2SQL-R1-7B,latest,1,1,Please list the zip code of all the charter schools in Fresno County Office of Education.,89,ea,bird_2,/home/count/code/vkr/results/nl2sql/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260407_005256.jsonl
True,bird,[true],california_schools,/home/count/code/vkr/data/nl2sql/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,True,,"SELECT s.MailStreet
FROM schools s
JOIN frpm f ON s.CDSCode = f.CDSCode
WHERE f.`FRPM Count (K-12)` = (
    SELECT MAX(`FRPM Count (K-12)`)
    FROM frpm
)
LIMIT 1",True,,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,133,True,Arctic-Text2SQL-R1-7B,m2_arctic,Arctic-Text2SQL-R1-7B,latest,1,1,What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?,109,ea,bird_3,/home/count/code/vkr/results/nl2sql/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260407_005256.jsonl
False,bird,[false],california_schools,/home/count/code/vkr/data/nl2sql/bird/dev_databases/california_schools/california_schools.sqlite,moderate,False,Charter schools refers to `Charter School (Y/N)` = 1 in the frpm,False,,"SELECT DISTINCT s.Phone
FROM schools AS s
INNER JOIN frpm AS f ON s.CDSCode = f.CDSCode
WHERE f.`Charter School (Y/N)` = 1 AND s.OpenDate > '2000-01-01'",True,,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',200,True,Arctic-Text2SQL-R1-7B,m2_arctic,Arctic-Text2SQL-R1-7B,latest,1,1,Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.,98,ea,bird_4,/home/count/code/vkr/results/nl2sql/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260407_005256.jsonl
True,bird,[true],california_schools,/home/count/code/vkr/data/nl2sql/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,Exclusively virtual refers to Virtual = 'F',True,,"SELECT COUNT(*) AS TotalVirtualSchoolsWithHighMathScores
FROM schools s
INNER JOIN satscores ss ON s.CDSCode = ss.cds
WHERE s.Virtual = 'F' AND ss.AvgScrMath > 400",True,,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,148,True,Arctic-Text2SQL-R1-7B,m2_arctic,Arctic-Text2SQL-R1-7B,latest,1,1,How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?,104,ea,bird_5,/home/count/code/vkr/results/nl2sql/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260407_005256.jsonl
False,bird,[false],california_schools,/home/count/code/vkr/data/nl2sql/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,Magnet schools or offer a magnet program means that Magnet = 1,False,,"SELECT DISTINCT s.School
FROM schools AS s
INNER JOIN satscores AS ss ON s.CDSCode = ss.cds
WHERE (s.Magnet = 1 OR ss.NumTstTakr > 500)",True,,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,129,True,Arctic-Text2SQL-R1-7B,m2_arctic,Arctic-Text2SQL-R1-7B,latest,1,1,"Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.",130,ea,bird_6,/home/count/code/vkr/results/nl2sql/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260407_005256.jsonl
True,bird,[true],california_schools,/home/count/code/vkr/data/nl2sql/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,True,,"SELECT s.Phone
FROM schools AS s
JOIN satscores AS ss ON s.CDSCode = ss.cds
WHERE ss.NumTstTakr = (
    SELECT MAX(NumTstTakr)
    FROM satscores
)
LIMIT 1",True,,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,119,True,Arctic-Text2SQL-R1-7B,m2_arctic,Arctic-Text2SQL-R1-7B,latest,1,1,What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?,113,ea,bird_7,/home/count/code/vkr/results/nl2sql/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260407_005256.jsonl
True,bird,[true],california_schools,/home/count/code/vkr/data/nl2sql/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,True,,"SELECT 
  ss.NumTstTakr AS ""Number of SAT Test Takers""
FROM 
  satscores ss
JOIN 
  frpm f ON ss.cds = f.CDSCode
WHERE 
  f.`FRPM Count (K-12)` = (
    SELECT MAX(`FRPM Count (K-12)`) FROM frpm
  )",True,,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),115,True,Arctic-Text2SQL-R1-7B,m2_arctic,Arctic-Text2SQL-R1-7B,latest,1,1,What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?,99,ea,bird_8,/home/count/code/vkr/results/nl2sql/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260407_005256.jsonl
False,bird,[false],california_schools,/home/count/code/vkr/data/nl2sql/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,False,,"SELECT COUNT(*) AS DirectlyCharterFundedCount
FROM schools s
INNER JOIN satscores ss ON s.CDSCode = ss.cds
WHERE ss.AvgScrMath > 560 AND s.FundingType = 'Direct'",True,,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',172,True,Arctic-Text2SQL-R1-7B,m2_arctic,Arctic-Text2SQL-R1-7B,latest,1,1,"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?",120,ea,bird_9,/home/count/code/vkr/results/nl2sql/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260407_005256.jsonl
