audit_id,blind_model_id,benchmark,sample_id,difficulty,db_id,question,evidence,gold_sql,pred_sql,completeness,efficiency,readability,comment
EA-001,M01,bird,bird_769,challenging,superhero,Which superhero has the most durability published by Dark Horse Comics?,which superhero refers to superhero_name; most durability refers to MAX(attribute_value) WHERE attribute_name = 'durability'; published by Dark Horse Comics refers to publisher_name = 'Dark Horse Comics';,SELECT T1.superhero_name FROM superhero AS T1 INNER JOIN hero_attribute AS T2 ON T1.id = T2.hero_id INNER JOIN attribute AS T3 ON T3.id = T2.attribute_id INNER JOIN publisher AS T4 ON T4.id = T1.publisher_id WHERE T4.publisher_name = 'Dark Horse Comics' AND T3.attribute_name = 'Durability' ORDER BY T2.attribute_value DESC LIMIT 1,SELECT s.superhero_name FROM superhero s JOIN publisher p ON s.publisher_id = p.id JOIN hero_attribute ha ON s.id = ha.hero_id JOIN attribute a ON ha.attribute_id = a.id WHERE p.publisher_name = 'Dark Horse Comics' AND a.attribute_name = 'Durability' ORDER BY ha.attribute_value DESC LIMIT 1,5,5,5,
EA-002,M01,bird,bird_990,challenging,formula_1,What is the constructor reference name of the champion in the 2009 Singapore Grand Prix? Please give its website.,"the time of the champion shows in the format of ""minutes: seconds.millionsecond"" in which Max(time); constructor reference name refers to constructorRef; website refers to url","SELECT T3.constructorRef, T3.url FROM results AS T1 INNER JOIN races AS T2 on T1.raceId = T2.raceId INNER JOIN constructors AS T3 on T1.constructorId = T3.constructorId WHERE T2.name = 'Singapore Grand Prix' AND T2.year = 2009 AND T1.time LIKE '_:%:__.___'","SELECT c.constructorRef, c.url FROM constructors c JOIN results r ON c.constructorId = r.constructorId JOIN races ra ON r.raceId = ra.raceId WHERE ra.year = 2009 AND ra.name = 'Singapore Grand Prix' AND r.position = 1",5,5,5,
EA-003,M01,bird,bird_615,moderate,codebase_community,"Among the users who obtained the ""Organizer"" badges, calculate the percentage of users who are teenagers.","""Organizer"" is the Name of badge; teenager refers to Age BETWEEN 13 AND 18; percentage = Divide (Count(UserId where Age BETWEEN 13 AND 18), Count(UserId)) *100","SELECT CAST(SUM(IIF(T2.Age BETWEEN 13 AND 18, 1, 0)) AS REAL) * 100 / COUNT(T1.Id) FROM badges AS T1 INNER JOIN users AS T2 ON T1.UserId = T2.Id WHERE T1.`Name` = 'Organizer'",SELECT (COUNT(CASE WHEN u.Age BETWEEN 13 AND 19 THEN 1 END) * 100.0 / COUNT(*)) AS percentage_teenagers FROM users u INNER JOIN badges b ON u.Id = b.UserId WHERE b.Name = 'Organizer',4,5,5,верхняя граница возраста 19 вместо 18
EA-004,M01,bird,bird_794,moderate,superhero,Which hero was the fastest?,which hero refers to superhero_name; fastest refers to MAX(attribute_value) WHERE attribute_name = 'Speed';,SELECT T1.superhero_name FROM superhero AS T1 INNER JOIN hero_attribute AS T2 ON T1.id = T2.hero_id INNER JOIN attribute AS T3 ON T2.attribute_id = T3.id WHERE T3.attribute_name = 'Speed' ORDER BY T2.attribute_value DESC LIMIT 1,SELECT s.superhero_name FROM superhero s JOIN hero_attribute ha ON s.id = ha.hero_id JOIN attribute a ON ha.attribute_id = a.id WHERE a.attribute_name = 'Speed' ORDER BY ha.attribute_value DESC LIMIT 1,5,5,5,
EA-005,M01,bird,bird_1038,moderate,european_football_2,List the top 5 leagues in ascending order of the number of goals made in all seasons combined.,"number of goals made in all seasons combine = SUM(home_team_goal, away_team_goal);","SELECT t1.name, SUM(t2.home_team_goal) + SUM(t2.away_team_goal) FROM League AS t1 INNER JOIN Match AS t2 ON t1.id = t2.league_id GROUP BY t1.name ORDER BY SUM(t2.home_team_goal) + SUM(t2.away_team_goal) ASC LIMIT 5","SELECT l.name, SUM(m.home_team_goal + m.away_team_goal) AS total_goals FROM League l JOIN Match m ON l.id = m.league_id GROUP BY l.id, l.name ORDER BY total_goals ASC LIMIT 5",5,5,5,
EA-006,M01,bird,bird_840,simple,superhero,List the attribute value of the superhero named Aquababy.,,SELECT T2.attribute_value FROM superhero AS T1 INNER JOIN hero_attribute AS T2 ON T1.id = T2.hero_id WHERE T1.superhero_name = 'Aquababy',SELECT ha.attribute_value FROM superhero sh JOIN hero_attribute ha ON sh.id = ha.hero_id JOIN attribute a ON ha.attribute_id = a.id WHERE sh.superhero_name = 'Aquababy',5,4,4,лишний JOIN с attribute
EA-007,M01,bird,bird_1184,simple,thrombosis_prediction,"For the patient whose birthday was 1959/3/1, what symptoms did he/she have during the examination on 1993/9/27?",,SELECT T2.Symptoms FROM Patient AS T1 INNER JOIN Examination AS T2 ON T1.ID = T2.ID WHERE T1.Birthday = '1959-03-01' AND T2.`Examination Date` = '1993-09-27',SELECT Symptoms FROM Examination WHERE ID = (SELECT ID FROM Patient WHERE Birthday = '1959-03-01') AND `Examination Date` = '1993-09-27',4,4,5,подзапрос предполагает единственного пациента с такой датой рождения
EA-008,M01,bird,bird_299,simple,toxicology,Is molecule TR124 carcinogenic?,label = '+' mean molecules are carcinogenic;,SELECT T.label FROM molecule AS T WHERE T.molecule_id = 'TR124',SELECT label FROM molecule WHERE molecule_id = 'TR124',5,5,5,
EA-009,M01,bird,bird_147,simple,financial,How many female clients' accounts are in the region of South Bohemia?,Female refers to gender = 'F'; A3 contains the region 'south Bohemia',SELECT COUNT(T1.client_id) FROM client AS T1 INNER JOIN district AS T2 ON T1.district_id = T2.district_id WHERE T1.gender = 'F' AND T2.A3 = 'south Bohemia',SELECT COUNT(DISTINCT a.account_id) FROM account a JOIN disp d ON a.account_id = d.account_id JOIN client c ON d.client_id = c.client_id JOIN district dist ON c.district_id = dist.district_id WHERE c.gender = 'F' AND dist.A3 = 'south Bohemia',3,3,4,считает distinct account_id вместо client_id; лишние JOIN для трактовки вопроса
EA-010,M01,bird,bird_549,simple,codebase_community,"From which post is the tag ""bayesian"" excerpted from? Please give the body of the post.","""bayesian"" is the TagName; excerpt from refers to ExcerptPostId",SELECT T2.Body FROM tags AS T1 INNER JOIN posts AS T2 ON T2.Id = T1.ExcerptPostId WHERE T1.TagName = 'bayesian',SELECT p.Body FROM tags t JOIN posts p ON t.ExcerptPostId = p.Id WHERE t.TagName = 'bayesian',5,5,5,
