any_hit,benchmark,candidate_hits,db_id,db_path,difficulty,empty_sql,evidence,first_hit,first_pred_error,first_pred_sql,first_pred_success,gold_error,gold_sql,gold_sql_len,gold_success,model_name,n_candidates,n_generations,question,question_len,run_label,sample_id,source_path
False,bird,[false],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,False,"near ""."": syntax error",SELECT ...,False,,SELECT T2.`FRPM Count (Ages 5-17)` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrRead DESC LIMIT 1,136,True,Arctic-Text2SQL-R1-7B,1,1,"For the school with the highest average score in Reading in the SAT test, what is its FRPM count for students aged 5-17?",120,ea,bird_10,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260328_012140.jsonl
False,bird,[false],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,Charter schools refers to `Charter School (Y/N)` = 1 in the table fprm,False,incomplete input,SELECT Zip FROM schools WHERE Charter = 1 AND DOC = 'Fresno County Office of Education'.,False,,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,178,True,Arctic-Text2SQL-R1-7B,1,1,Please list the zip code of all the charter schools in Fresno County Office of Education.,89,ea,bird_2,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260328_012140.jsonl
False,bird,[false],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,moderate,False,Excellence rate = NumGE1500 / NumTstTakr; Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`,False,,SELECT MAX(T2.`Percent (%) Eligible Free (Ages 5-17)`) AS max_eligible_free_rate FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.rtype = 'SAT' AND T1.NumTstTakr > 0 AND (T1.AvgScrRead + T1.AvgScrMath + T1.AvgScrWrite) / 3.0 > 0.3,True,,SELECT MAX(CAST(T1.`Free Meal Count (Ages 5-17)` AS REAL) / T1.`Enrollment (Ages 5-17)`) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr > 0.3,209,True,Arctic-Text2SQL-R1-7B,1,1,"Among the schools with an SAT excellence rate of over 0.3, what is the highest eligible free rate for students aged 5-17?",121,ea,bird_12,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260328_012140.jsonl
True,bird,[true],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,True,,SELECT NumTstTakr FROM satscores WHERE cds IN (SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1),True,,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),115,True,Arctic-Text2SQL-R1-7B,1,1,What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?,99,ea,bird_8,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260328_012140.jsonl
False,bird,[false],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`,False,,SELECT MAX(T1.`Percent (%) Eligible Free (K-12)`) AS max_eligible_free_rate FROM frpm AS T1 WHERE T1.`County Name` = 'Alameda County',True,,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,180,True,Arctic-Text2SQL-R1-7B,1,1,What is the highest eligible free rate for K-12 students in the schools in Alameda County?,90,ea,bird_0,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260328_012140.jsonl
True,bird,[true],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,True,,SELECT COUNT(*) FROM frpm WHERE `County Name` = 'Los Angeles' AND `Free Meal Count (K-12)` > 500 AND `FRPM Count (K-12)` < 700,True,,SELECT COUNT(CDSCode) FROM frpm WHERE `County Name` = 'Los Angeles' AND `Free Meal Count (K-12)` > 500 AND `FRPM Count (K-12)`< 700,131,True,Arctic-Text2SQL-R1-7B,1,1,In Los Angeles how many schools have more than 500 free meals but less than 700 free or reduced price meals for K-12?,117,ea,bird_21,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260328_012140.jsonl
True,bird,[true],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,True,,SELECT MailStreet FROM schools WHERE CDSCode = (SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1),True,,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,133,True,Arctic-Text2SQL-R1-7B,1,1,What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?,109,ea,bird_3,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260328_012140.jsonl
False,bird,[false],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,Total enrollment can be represented by `Enrollment (K-12)` + `Enrollment (Ages 5-17)`,False,,SELECT CDSCode FROM frpm WHERE `Enrollment (K-12)` > 500,True,,SELECT T2.CDSCode FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` + T2.`Enrollment (Ages 5-17)` > 500,150,True,Arctic-Text2SQL-R1-7B,1,1,Please list the codes of the schools with a total enrollment of over 500.,73,ea,bird_11,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260328_012140.jsonl
False,bird,[false],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,False,,SELECT COUNT(*) FROM schools WHERE FundingType = 'Direct' AND CDSCode IN (SELECT cds FROM satscores WHERE AvgScrMath > 560),True,,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',172,True,Arctic-Text2SQL-R1-7B,1,1,"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?",120,ea,bird_9,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260328_012140.jsonl
False,bird,[false],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,moderate,False,Percent eligible for free meals = Free Meal Count (K-12) / Total (Enrollment (K-12),False,,SELECT s.School FROM schools AS s INNER JOIN frpm AS f ON s.CDSCode = f.CDSCode WHERE f.`Percent (%) Eligible Free (K-12)` > 0.1 AND f.`FRPM Count (K-12)` >= 1500,True,,SELECT T2.`School Name` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE CAST(T2.`Free Meal Count (K-12)` AS REAL) / T2.`Enrollment (K-12)` > 0.1 AND T1.NumGE1500 > 0,189,True,Arctic-Text2SQL-R1-7B,1,1,Give the names of the schools with the percent eligible for free meals in K-12 is more than 0.1 and test takers whose test score is greater than or equal to 1500?,162,ea,bird_24,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260328_012140.jsonl
