sample_id,model_key,model_name,model_display_name,model_version,benchmark,run_label,entry_point,prompt_len,n_generations,source_path,candidate_hits,first_hit,any_hit,n_candidates,first_code,first_compiled_ok,first_tests_passed,first_error_type
HumanEval/0,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,has_close_elements,348,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"from typing import List

def has_close_elements(numbers: List[float], threshold: float) -> bool:
    numbers_sorted = sorted(float(x) for x in numbers)
    for a, b in zip(numbers_sorted, numbers_sorted[1:]):
        if b - a < threshold:
            return True
    return False",True,True,
HumanEval/1,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,separate_paren_groups,506,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"from typing import List

def separate_paren_groups(paren_string: str) -> List[str]:
    groups: List[str] = []
    curr: List[str] = []
    depth = 0

    for ch in paren_string:
        if ch == "" "":
            continue
        if ch == ""("":
            if depth == 0:
                curr = []
            curr.append(ch)
            depth += 1
        else:  # ch == "")""
            curr.append(ch)
            depth -= 1
            if depth == 0:
                groups.append("""".join(curr))

    return groups",True,True,
HumanEval/10,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,make_palindrome,580,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[false],False,False,1,"def is_palindrome(string: str) -> bool:
    """""" Test if given string is a palindrome """"""
    return string == string[::-1]


def make_palindrome(string: str) -> str:
    """""" Find the shortest palindrome that begins with a supplied string.
    Algorithm idea is simple:
    - Find the longest postfix of supplied string that is a palindrome.
    - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
    >>> make_palindrome('')
    ''
    >>> make_palindrome('cat')
    'catac'
    >>> make_palindrome('cata')
    'catac'
    """"""
    assert type(string) == str, ""invalid inputs""  # $_CONTRACT_$
    n = len(string)
    if n <= 1:
        return string

    def longest_pal_suffix_start(s: str) -> int:
        r = s[::-1]
        m = len(s)
        lps = [0] * m
        j = 0
        for i in range(1, m):
            while j > 0 and r[i] != r[j]:
                j = lps[j - 1]
            if r[i] == r[j]:
                j += 1
                lps[i] = j
        return m - lps[-1]

    start = longest_pal_suffix_start(string)
    return string + string[:start][::-1]",True,False,failed_tests
HumanEval/100,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,make_a_pile,475,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def make_a_pile(n):
    assert type(n) == int and n >= 1, ""invalid inputs""
    step = 2
    return [n + step * i for i in range(n)]",True,True,
HumanEval/101,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,words_string,394,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"import re

def words_string(s):
    assert isinstance(s, str), ""invalid inputs""
    return [w for w in re.split(r""[,\s]+"", s.strip()) if w]",True,True,
HumanEval/102,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,choose_num,316,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def choose_num(x, y):
    assert type(x) == int and type(y) == int, ""invalid inputs""
    assert x > 0 and y > 0, ""invalid inputs""

    if x > y:
        return -1
    if y % 2 == 0:
        return y
    if y - 1 >= x:
        return y - 1
    return -1",True,True,
HumanEval/103,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,rounded_avg,440,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[false],False,False,1,"def rounded_avg(n, m):
    assert type(n) == int and type(m) == int, ""invalid inputs""
    assert n > 0 and m > 0, ""invalid inputs""
    if n > m:
        return -1
    total = n + m
    count = m - n + 1
    avg_num = total * count
    denom = 2 * count
    rounded = (avg_num + denom // 2) // denom
    return bin(rounded)",True,False,failed_tests
HumanEval/104,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,unique_digits,338,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def unique_digits(x):
    assert type(x) == list, ""invalid inputs""  # $_CONTRACT_$
    assert all(type(num) == int and num > 0 for num in x), ""invalid inputs""  # $_CONTRACT_$

    def has_no_even_digit(n):
        while n:
            d = n % 10
            if d % 2 == 0:
                return False
            n //= 10
        return True

    return sorted([num for num in x if has_no_even_digit(num)])",True,True,
HumanEval/105,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,by_length,809,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def by_length(arr):
    names = {
        1: ""One"",
        2: ""Two"",
        3: ""Three"",
        4: ""Four"",
        5: ""Five"",
        6: ""Six"",
        7: ""Seven"",
        8: ""Eight"",
        9: ""Nine"",
    }
    return [names[x] for x in sorted(arr, reverse=True) if 1 <= x <= 9]",True,True,
HumanEval/106,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,f,400,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def f(n):
    assert type(n) == int, ""invalid inputs""
    assert n >= 0, ""invalid inputs""
    res = []
    fact = 1
    s = 0
    for i in range(1, n + 1):
        fact *= i
        s += i
        res.append(fact if i % 2 == 0 else s)
    return res",True,True,
HumanEval/107,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,even_odd_palindrome,676,1,/home/count/code/vkr/results/code/raw/ChatGPT_humaneval_plus_fc_20260402_025734.jsonl,[true],True,True,1,"def even_odd_palindrome(n):
    assert type(n) == int, ""invalid inputs""
    assert 1 <= n <= 1000, ""invalid inputs""

    even_count = 0
    odd_count = 0

    for i in range(1, n + 1):
        s = str(i)
        if s == s[::-1]:
            if i % 2 == 0:
                even_count += 1
            else:
                odd_count += 1

    return (even_count, odd_count)",True,True,
