Модель,Бенчмарк,ID примера,Сложность,Вопрос,Сгенерированный SQL,Эталонный SQL,Исход,Текст ошибки,Краткий комментарий
Arctic-Text2SQL-R1-7B,BIRD,bird_1,средние,Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.,"SELECT 
    `County Name`, 
    `District Name`, 
    `School Name`, 
    (`Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`) * 100 AS EligibleFreeRate
FROM frpm
WHERE `School Type` = 'Continuation School'
ORDER BY EligibleFreeRate ASC
LIMIT 3",SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,некорректный результат,,"SQL выполнился, но результат не совпал с эталоном."
Arctic-Text2SQL-R1-7B,BIRD,bird_2,простые,Please list the zip code of all the charter schools in Fresno County Office of Education.,"SELECT DISTINCT s.Zip
FROM schools AS s
INNER JOIN frpm AS f ON s.CDSCode = f.CDSCode
WHERE s.Charter = 1 AND f.`District Type` = 'Fresno County Office of Education'",SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,некорректный результат,,"SQL выполнился, но результат не совпал с эталоном."
Arctic-Text2SQL-R1-7B,BIRD,bird_4,средние,Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.,"SELECT DISTINCT s.Phone
FROM schools AS s
INNER JOIN frpm AS f ON s.CDSCode = f.CDSCode
WHERE f.`Charter School (Y/N)` = 1 AND s.OpenDate > '2000-01-01'",SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',некорректный результат,,"SQL выполнился, но результат не совпал с эталоном."
Arctic-Text2SQL-R1-7B,BIRD,bird_6,простые,"Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.","SELECT DISTINCT s.School
FROM schools AS s
INNER JOIN satscores AS ss ON s.CDSCode = ss.cds
WHERE (s.Magnet = 1 OR ss.NumTstTakr > 500)",SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,некорректный результат,,"SQL выполнился, но результат не совпал с эталоном."
Arctic-Text2SQL-R1-7B,BIRD,bird_9,простые,"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?","SELECT COUNT(*) AS DirectlyCharterFundedCount
FROM schools s
INNER JOIN satscores ss ON s.CDSCode = ss.cds
WHERE ss.AvgScrMath > 560 AND s.FundingType = 'Direct'",SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',некорректный результат,,"SQL выполнился, но результат не совпал с эталоном."
Arctic-Text2SQL-R1-7B,BIRD,bird_10,простые,"For the school with the highest average score in Reading in the SAT test, what is its FRPM count for students aged 5-17?","SELECT 
    f.`FRPM Count (Ages 5-17)`
FROM 
    satscores s
INNER JOIN 
    frpm f ON s.cds = f.CDSCode
WHERE 
    s.rtype = 'Total'
ORDER BY 
    s.AvgScrRead DESC
LIMIT 1",SELECT T2.`FRPM Count (Ages 5-17)` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrRead DESC LIMIT 1,некорректный результат,,"SQL выполнился, но результат не совпал с эталоном."
Arctic-Text2SQL-R1-7B,BIRD,bird_15,простые,Which active district has the highest average score in Reading?,"SELECT 
    T2.dname AS DistrictName,
    AVG(T2.AvgScrRead) AS AverageReadingScore
FROM 
    schools AS T1
INNER JOIN 
    satscores AS T2 ON T1.CDSCode = T2.cds
WHERE 
    T1.StatusType = 'Active'
GROUP BY 
    T2.dname
ORDER BY 
    AVG(T2.AvgScrRead) DESC
LIMIT 1",SELECT T1.District FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.StatusType = 'Active' ORDER BY T2.AvgScrRead DESC LIMIT 1,некорректный результат,,"SQL выполнился, но результат не совпал с эталоном."
Arctic-Text2SQL-R1-7B,BIRD,bird_16,простые,How many schools in merged Alameda have number of test takers less than 100?,"SELECT 
    COUNT(*) AS TotalSchools
FROM 
    satscores ss
JOIN 
    schools s ON ss.cds = s.CDSCode
WHERE 
    s.County = 'Alameda' AND 
    s.District = 'Merged' AND 
    ss.NumTstTakr < 100",SELECT COUNT(T1.CDSCode) FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.StatusType = 'Merged' AND T2.NumTstTakr < 100 AND T1.County = 'Lake',некорректный результат,,"SQL выполнился, но результат не совпал с эталоном."
Arctic-Text2SQL-R1-7B,BIRD,bird_17,простые,"Rank schools by their average score in Writing where the score is greater than 499, showing their charter numbers.","SELECT 
    s.CharterNum,
    ss.AvgScrWrite AS AvgWritingScore
FROM 
    schools s
INNER JOIN 
    satscores ss ON s.CDSCode = ss.cds
WHERE 
    ss.AvgScrWrite > 499
ORDER BY 
    ss.AvgScrWrite DESC","SELECT CharterNum, AvgScrWrite, RANK() OVER (ORDER BY AvgScrWrite DESC) AS WritingScoreRank FROM schools AS T1  INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T2.AvgScrWrite > 499 AND CharterNum is not null",некорректный результат,,"SQL выполнился, но результат не совпал с эталоном."
Arctic-Text2SQL-R1-7B,BIRD,bird_18,простые,How many schools in Fresno (directly funded) have number of test takers not more than 250?,"SELECT 
    COUNT(*) AS Total_Schools
FROM 
    satscores ss
INNER JOIN 
    schools s ON ss.cds = s.CDSCode
WHERE 
    s.County = 'Fresno' AND 
    s.FundingType = 'Direct' AND 
    ss.NumTstTakr <= 250",SELECT COUNT(T1.CDSCode) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`County Name` = 'Fresno' AND T2.NumTstTakr <= 250,некорректный результат,,"SQL выполнился, но результат не совпал с эталоном."
