sample_id,model_key,model_name,model_display_name,model_version,benchmark,run_label,candidate_index,entry_point,code,compiled_ok,tests_passed,functional_correctness,error_type,base_status,plus_status,base_passed,base_total,plus_passed,plus_total
HumanEval/143,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,words_in_sentence,"def words_in_sentence(sentence):
    assert isinstance(sentence, str), ""invalid inputs""
    assert 1 <= len(sentence) <= 100, ""invalid inputs""
    assert ""  "" not in sentence, ""invalid inputs""
    assert all(word.isalpha() for word in sentence.split("" "")), ""invalid inputs""

    def is_prime(n):
        if n < 2:
            return False
        if n == 2:
            return True
        if n % 2 == 0:
            return False
        d = 3
        while d * d <= n:
            if n % d == 0:
                return False
            d += 2
        return True

    words = sentence.split("" "")
    selected = [w for w in words if is_prime(len(w))]
    return "" "".join(selected)",True,True,True,,pass,pass,7,7,1000,1000
HumanEval/144,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,simplify,"from math import gcd

def simplify(x, n):
    a_str, b_str = x.split(""/"")
    c_str, d_str = n.split(""/"")
    a = int(a_str)
    b = int(b_str)
    c = int(c_str)
    d = int(d_str)

    g1 = gcd(a, d)
    a //= g1
    d //= g1

    g2 = gcd(c, b)
    c //= g2
    b //= g2

    return (b * d) == 1",True,False,False,failed_tests,fail,fail,10,13,992,998
HumanEval/145,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,order_by_points,"def order_by_points(nums):
    assert all(type(x) == int for x in nums), ""invalid inputs""  # $_CONTRACT_$
    def digit_sum(n):
        n = abs(n)
        s = 0
        while n:
            s += n % 10
            n //= 10
        return s
    indexed = list(enumerate(nums))
    indexed.sort(key=lambda p: (digit_sum(p[1]), p[0]))
    return [v for _, v in indexed]",True,False,False,failed_tests,fail,fail,3,6,37,1000
HumanEval/146,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,specialFilter,"def specialFilter(nums):
    assert type(nums) == list, ""invalid inputs""
    assert all(type(x) == int for x in nums), ""invalid inputs""

    count = 0
    for n in nums:
        if n <= 10:
            continue
        s = str(abs(n))
        first = ord(s[0]) - 48
        last = ord(s[-1]) - 48
        if (first & 1) and (last & 1):
            count += 1
    return count",True,True,True,,pass,pass,7,7,988,988
HumanEval/147,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,get_max_triples,"def get_max_triples(n):
    assert type(n) == int, ""invalid inputs""  # $_CONTRACT_$
    assert n > 0, ""invalid inputs""  # $_CONTRACT_$

    counts = [0, 0, 0]
    for i in range(1, n + 1):
        r = (i * i - i + 1) % 3
        counts[r] += 1

    c0, c1, c2 = counts

    def comb3(x):
        return x * (x - 1) * (x - 2) // 6 if x >= 3 else 0

    return comb3(c0) + comb3(c1) + comb3(c2) + c0 * c1 * c2",True,True,True,,pass,pass,4,4,115,115
HumanEval/148,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,bf,"def bf(planet1, planet2):
    planets = (""Mercury"", ""Venus"", ""Earth"", ""Mars"", ""Jupiter"", ""Saturn"", ""Uranus"", ""Neptune"")
    try:
        i1 = planets.index(planet1)
        i2 = planets.index(planet2)
    except ValueError:
        return ()
    if i1 == i2:
        return ()
    lo, hi = (i1, i2) if i1 < i2 else (i2, i1)
    return planets[lo + 1:hi]",True,True,True,,pass,pass,11,11,971,971
HumanEval/149,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,sorted_list_sum,"def sorted_list_sum(lst):
    assert type(lst) == list, ""invalid inputs""
    assert all(type(x) == str for x in lst), ""invalid inputs""
    even_len_words = [s for s in lst if len(s) % 2 == 0]
    return sorted(even_len_words, key=lambda s: (len(s), s))",True,True,True,,pass,pass,7,7,979,979
HumanEval/15,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,string_sequence,"def string_sequence(n: int) -> str:
    assert type(n) == int, ""invalid inputs""
    assert n >= 0, ""invalid inputs""
    return "" "".join(map(str, range(n + 1)))",True,True,True,,pass,pass,3,3,134,134
HumanEval/150,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,x_or_y,"def x_or_y(n, x, y):
    assert type(n) == int, ""invalid inputs""  # $_CONTRACT_$
    if n < 2:
        return y
    if n == 2 or n == 3:
        return x
    if n % 2 == 0 or n % 3 == 0:
        return y
    i = 5
    step = 2
    while i * i <= n:
        if n % i == 0:
            return y
        i += step
        step = 6 - step
    return x",True,True,True,,pass,pass,10,10,998,998
HumanEval/151,m1_chatgpt,ChatGPT,ChatGPT 5.2,5.2,humaneval_plus,fc,1,double_the_difference,"def double_the_difference(lst):
    assert type(lst) == list, ""invalid inputs""
    total = 0
    for x in lst:
        if isinstance(x, bool):
            continue
        if isinstance(x, int):
            if x > 0 and (x % 2 == 1):
                total += x * x
        elif isinstance(x, float):
            if x > 0 and x.is_integer():
                xi = int(x)
                if xi % 2 == 1:
                    total += xi * xi
    return total",True,False,False,failed_tests,pass,fail,7,7,995,999
