audit_id,blind_model_id,model_name,model_display_name,benchmark,sample_id,source_path
EA-001,M01,DeepSeek,DeepSeek V3.2,bird,bird_769,/home/count/code/vkr/results/nl2sql/raw/DeepSeek_bird_ea_20260327_192459.jsonl
EA-002,M01,DeepSeek,DeepSeek V3.2,bird,bird_990,/home/count/code/vkr/results/nl2sql/raw/DeepSeek_bird_ea_20260327_192459.jsonl
EA-003,M01,DeepSeek,DeepSeek V3.2,bird,bird_615,/home/count/code/vkr/results/nl2sql/raw/DeepSeek_bird_ea_20260327_192459.jsonl
EA-004,M01,DeepSeek,DeepSeek V3.2,bird,bird_794,/home/count/code/vkr/results/nl2sql/raw/DeepSeek_bird_ea_20260327_192459.jsonl
EA-005,M01,DeepSeek,DeepSeek V3.2,bird,bird_1038,/home/count/code/vkr/results/nl2sql/raw/DeepSeek_bird_ea_20260327_192459.jsonl
EA-006,M01,DeepSeek,DeepSeek V3.2,bird,bird_840,/home/count/code/vkr/results/nl2sql/raw/DeepSeek_bird_ea_20260327_192459.jsonl
EA-007,M01,DeepSeek,DeepSeek V3.2,bird,bird_1184,/home/count/code/vkr/results/nl2sql/raw/DeepSeek_bird_ea_20260327_192459.jsonl
EA-008,M01,DeepSeek,DeepSeek V3.2,bird,bird_299,/home/count/code/vkr/results/nl2sql/raw/DeepSeek_bird_ea_20260327_192459.jsonl
EA-009,M01,DeepSeek,DeepSeek V3.2,bird,bird_147,/home/count/code/vkr/results/nl2sql/raw/DeepSeek_bird_ea_20260327_192459.jsonl
EA-010,M01,DeepSeek,DeepSeek V3.2,bird,bird_549,/home/count/code/vkr/results/nl2sql/raw/DeepSeek_bird_ea_20260327_192459.jsonl
EA-011,M02,ChatGPT,ChatGPT 5.2,bird,bird_1076,/home/count/code/vkr/results/nl2sql/raw/ChatGPT_bird_ea_20260327_212818.jsonl
EA-012,M02,ChatGPT,ChatGPT 5.2,bird,bird_206,/home/count/code/vkr/results/nl2sql/raw/ChatGPT_bird_ea_20260327_212818.jsonl
EA-013,M02,ChatGPT,ChatGPT 5.2,bird,bird_397,/home/count/code/vkr/results/nl2sql/raw/ChatGPT_bird_ea_20260327_212818.jsonl
