any_hit,benchmark,candidate_hits,db_id,db_path,difficulty,empty_sql,evidence,first_hit,first_pred_error,first_pred_sql,first_pred_success,gold_error,gold_sql,gold_sql_len,gold_success,model_name,n_candidates,n_generations,question,question_len,run_label,sample_id,source_path
False,bird,[false],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,Charter schools refers to `Charter School (Y/N)` = 1 in the table fprm,False,incomplete input,SELECT Zip FROM schools WHERE Charter = 1 AND DOC = 'Fresno County Office of Education'.,False,,SELECT T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`District Name` = 'Fresno County Office of Education' AND T1.`Charter School (Y/N)` = 1,178,True,Arctic-Text2SQL-R1-7B,1,1,Please list the zip code of all the charter schools in Fresno County Office of Education.,89,ea,bird_2,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260326_140507.jsonl
False,bird,[false],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,Eligible free rate for K-12 = `Free Meal Count (K-12)` / `Enrollment (K-12)`,False,,SELECT MAX(T1.`Percent (%) Eligible Free (K-12)`) AS max_eligible_free_rate FROM frpm AS T1 WHERE T1.`County Name` = 'Alameda County',True,,SELECT `Free Meal Count (K-12)` / `Enrollment (K-12)` FROM frpm WHERE `County Name` = 'Alameda' ORDER BY (CAST(`Free Meal Count (K-12)` AS REAL) / `Enrollment (K-12)`) DESC LIMIT 1,180,True,Arctic-Text2SQL-R1-7B,1,1,What is the highest eligible free rate for K-12 students in the schools in Alameda County?,90,ea,bird_0,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260326_140507.jsonl
True,bird,[true],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,True,,SELECT NumTstTakr FROM satscores WHERE cds IN (SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1),True,,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),115,True,Arctic-Text2SQL-R1-7B,1,1,What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?,99,ea,bird_8,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260326_140507.jsonl
True,bird,[true],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,True,,SELECT MailStreet FROM schools WHERE CDSCode = (SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1),True,,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,133,True,Arctic-Text2SQL-R1-7B,1,1,What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?,109,ea,bird_3,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260326_140507.jsonl
False,bird,[false],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,False,,SELECT COUNT(*) FROM schools WHERE FundingType = 'Direct' AND CDSCode IN (SELECT cds FROM satscores WHERE AvgScrMath > 560),True,,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',172,True,Arctic-Text2SQL-R1-7B,1,1,"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?",120,ea,bird_9,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260326_140507.jsonl
False,bird,[false],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,moderate,False,Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`,False,,SELECT MIN(T1.`Percent (%) Eligible Free (Ages 5-17)`) FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.StatusType = 'Continuation' LIMIT 3,True,,SELECT `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` FROM frpm WHERE `Educational Option Type` = 'Continuation School' AND `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` IS NOT NULL ORDER BY `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)` ASC LIMIT 3,280,True,Arctic-Text2SQL-R1-7B,1,1,Please list the lowest three eligible free rates for students aged 5-17 in continuation schools.,96,ea,bird_1,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260326_140507.jsonl
True,bird,[true],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,True,,SELECT s.Phone FROM schools AS s INNER JOIN satscores AS ss ON s.CDSCode = ss.cds ORDER BY ss.NumTstTakr DESC LIMIT 1,True,,SELECT T2.Phone FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.NumGE1500 DESC LIMIT 1,119,True,Arctic-Text2SQL-R1-7B,1,1,What is the phone number of the school that has the highest number of test takers with an SAT score of over 1500?,113,ea,bird_7,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260326_140507.jsonl
False,bird,[false],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,Exclusively virtual refers to Virtual = 'F',False,,SELECT COUNT(*) FROM schools WHERE Virtual = 'Yes' AND CDSCode IN (SELECT cds FROM satscores WHERE AvgScrMath > 400),True,,SELECT COUNT(DISTINCT T2.School) FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Virtual = 'F' AND T1.AvgScrMath > 400,148,True,Arctic-Text2SQL-R1-7B,1,1,How many schools with an average score in Math greater than 400 in the SAT test are exclusively virtual?,104,ea,bird_5,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260326_140507.jsonl
True,bird,[true],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,Magnet schools or offer a magnet program means that Magnet = 1,True,,SELECT s.School FROM schools AS s INNER JOIN satscores AS ss ON s.CDSCode = ss.cds WHERE ss.NumTstTakr > 500 AND (s.Magnet = 1 OR s.GSoffered LIKE '%MAGNET%'),True,,SELECT T2.School FROM satscores AS T1 INNER JOIN schools AS T2 ON T1.cds = T2.CDSCode WHERE T2.Magnet = 1 AND T1.NumTstTakr > 500,129,True,Arctic-Text2SQL-R1-7B,1,1,"Among the schools with the SAT test takers of over 500, please list the schools that are magnet schools or offer a magnet program.",130,ea,bird_6,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260326_140507.jsonl
False,bird,[false],california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,moderate,False,Charter schools refers to `Charter School (Y/N)` = 1 in the frpm,False,,SELECT Phone FROM schools WHERE Charter = 1 AND FundingType = 'Direct' AND OpenDate > '2000-01-01',True,,SELECT T2.Phone FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T1.`Charter Funding Type` = 'Directly funded' AND T1.`Charter School (Y/N)` = 1 AND T2.OpenDate > '2000-01-01',200,True,Arctic-Text2SQL-R1-7B,1,1,Please list the phone numbers of the direct charter-funded schools that are opened after 2000/1/1.,98,ea,bird_4,results/raw/Arctic-Text2SQL-R1-7B_bird_ea_20260326_140507.jsonl
