any_hit,benchmark,candidate_hits,db_id,db_path,difficulty,empty_sql,evidence,first_hit,first_pred_error,first_pred_sql,first_pred_success,gold_error,gold_sql,gold_sql_len,gold_success,model_name,n_candidates,n_generations,question,question_len,run_label,sample_id,source_path
False,bird,"[false, false, false, false, false]",california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,False,,SELECT T1.`FRPM Count (Ages 5-17)` FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T2.rtype = 'All Students' AND T2.AvgScrRead IS NOT NULL ORDER BY T2.AvgScrRead DESC LIMIT 1,True,,SELECT T2.`FRPM Count (Ages 5-17)` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode ORDER BY T1.AvgScrRead DESC LIMIT 1,136,True,Arctic-Text2SQL-R1-7B,5,5,"For the school with the highest average score in Reading in the SAT test, what is its FRPM count for students aged 5-17?",120,pass_k,bird_10,results/raw/Arctic-Text2SQL-R1-7B_bird_pass_k_20260326_223940.jsonl
False,bird,"[false, false, false, false, false]",california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,False,incomplete input,SELECT COUNT(*) FROM schools WHERE CDSCode IN (SELECT cds FROM satscores WHERE AvgScrMath > 560 AND rtype = 'Total') AND FundingType = 'Direct Charter'.,False,,SELECT COUNT(T2.`School Code`) FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T1.AvgScrMath > 560 AND T2.`Charter Funding Type` = 'Directly funded',172,True,Arctic-Text2SQL-R1-7B,5,5,"Among the schools with the average score in Math over 560 in the SAT test, how many schools are directly charter-funded?",120,pass_k,bird_9,results/raw/Arctic-Text2SQL-R1-7B_bird_pass_k_20260326_223940.jsonl
False,bird,"[false, false, false, false, false]",california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,False,no such column: FRPM_Count_k_12,SELECT NumTstTakr FROM satscores WHERE cds IN (SELECT CDSCode FROM frpm ORDER BY FRPM_Count_k_12 DESC LIMIT 1),False,,SELECT NumTstTakr FROM satscores WHERE cds = ( SELECT CDSCode FROM frpm ORDER BY `FRPM Count (K-12)` DESC LIMIT 1 ),115,True,Arctic-Text2SQL-R1-7B,5,5,What is the number of SAT test takers of the schools with the highest FRPM count for K-12 students?,99,pass_k,bird_8,results/raw/Arctic-Text2SQL-R1-7B_bird_pass_k_20260326_223940.jsonl
True,bird,"[true, true, true, true, true]",california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,moderate,False,Excellence rate = NumGE1500 / NumTstTakr; Eligible free rates for students aged 5-17 = `Free Meal Count (Ages 5-17)` / `Enrollment (Ages 5-17)`,True,,SELECT MAX(T2.`Percent (%) Eligible Free (Ages 5-17)`) AS max_free_eligible FROM frpm AS T2 INNER JOIN satscores AS T1 ON T2.CDSCode = T1.cds WHERE T1.NumGE1500 / CAST(T1.enroll12 AS REAL) > 0.3,True,,SELECT MAX(CAST(T1.`Free Meal Count (Ages 5-17)` AS REAL) / T1.`Enrollment (Ages 5-17)`) FROM frpm AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE CAST(T2.NumGE1500 AS REAL) / T2.NumTstTakr > 0.3,209,True,Arctic-Text2SQL-R1-7B,5,5,"Among the schools with an SAT excellence rate of over 0.3, what is the highest eligible free rate for students aged 5-17?",121,pass_k,bird_12,results/raw/Arctic-Text2SQL-R1-7B_bird_pass_k_20260326_223940.jsonl
False,bird,"[false, false, false, false, false]",california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,False,You can only execute one statement at a time.,SELECT COUNT(*) FROM frpm WHERE `County Name` = 'Los Angeles' AND (`Free Meal Count (K-12)` > 500 AND `FRPM Count (K-12)` < 700);},False,,SELECT COUNT(CDSCode) FROM frpm WHERE `County Name` = 'Los Angeles' AND `Free Meal Count (K-12)` > 500 AND `FRPM Count (K-12)`< 700,131,True,Arctic-Text2SQL-R1-7B,5,5,In Los Angeles how many schools have more than 500 free meals but less than 700 free or reduced price meals for K-12?,117,pass_k,bird_21,results/raw/Arctic-Text2SQL-R1-7B_bird_pass_k_20260326_223940.jsonl
False,bird,"[false, false, false, false, false]",california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,moderate,False,Percent eligible for free meals = Free Meal Count (K-12) / Total (Enrollment (K-12),False,"near ""The"": syntax error",The question asks for school names where 'Percent (%) Eligible Free (K-12)' in the frpm table is more than 0.1 and also requires checking if there are test takers (from satscores) with scores ≥ 1500.,False,,SELECT T2.`School Name` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE CAST(T2.`Free Meal Count (K-12)` AS REAL) / T2.`Enrollment (K-12)` > 0.1 AND T1.NumGE1500 > 0,189,True,Arctic-Text2SQL-R1-7B,5,5,Give the names of the schools with the percent eligible for free meals in K-12 is more than 0.1 and test takers whose test score is greater than or equal to 1500?,162,pass_k,bird_24,results/raw/Arctic-Text2SQL-R1-7B_bird_pass_k_20260326_223940.jsonl
False,bird,"[false, false, false, false, false]",california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,moderate,False,Average of average math = sum(average math scores) / count(schools).,False,misuse of aggregate: AVG(),"SELECT T1.School, T1.FundingType FROM schools AS T1 INNER JOIN satscores AS T2 ON T1.CDSCode = T2.cds WHERE T1.County = 'Riverside' AND AVG(T2.AvgScrMath) > 400 GROUP BY T1.School, T1.FundingType",False,,"SELECT T1.sname, T2.`Charter Funding Type` FROM satscores AS T1 INNER JOIN frpm AS T2 ON T1.cds = T2.CDSCode WHERE T2.`District Name` LIKE 'Riverside%' GROUP BY T1.sname, T2.`Charter Funding Type` HAVING CAST(SUM(T1.AvgScrMath) AS REAL) / COUNT(T1.cds) > 400",258,True,Arctic-Text2SQL-R1-7B,5,5,"Name schools in Riverside which the average of average math score for SAT is grater than 400, what is the funding type of these schools?",136,pass_k,bird_25,results/raw/Arctic-Text2SQL-R1-7B_bird_pass_k_20260326_223940.jsonl
False,bird,"[false, false, false, false, false]",california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,,False,no such column: T2.FRPM_Count_K_12,SELECT T1.MailStreet FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T2.FRPM_Count_K_12 DESC LIMIT 1,False,,SELECT T2.MailStreet FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode ORDER BY T1.`FRPM Count (K-12)` DESC LIMIT 1,133,True,Arctic-Text2SQL-R1-7B,5,5,What is the unabbreviated mailing street address of the school with the highest FRPM count for K-12 students?,109,pass_k,bird_3,results/raw/Arctic-Text2SQL-R1-7B_bird_pass_k_20260326_223940.jsonl
False,bird,"[false, false, false, false, false]",california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,simple,False,Total enrollment can be represented by `Enrollment (K-12)` + `Enrollment (Ages 5-17)`,False,,SELECT DISTINCT cds FROM satscores WHERE enroll12 > 500,True,,SELECT T2.CDSCode FROM schools AS T1 INNER JOIN frpm AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.`Enrollment (K-12)` + T2.`Enrollment (Ages 5-17)` > 500,150,True,Arctic-Text2SQL-R1-7B,5,5,Please list the codes of the schools with a total enrollment of over 500.,73,pass_k,bird_11,results/raw/Arctic-Text2SQL-R1-7B_bird_pass_k_20260326_223940.jsonl
False,bird,"[false, false, false, false, false]",california_schools,data/bird/dev_databases/california_schools/california_schools.sqlite,moderate,False,"Full communication address should include Street, City, State and zip code if any.",False,"near ""The"": syntax error","The question asks for high schools within Monterey County, which have more than 800 free/reduced-price meals (FRPM) specifically for ages 15-17 years old.",False,,"SELECT T1.`School Name`, T2.Street, T2.City, T2.State, T2.Zip FROM frpm AS T1 INNER JOIN schools AS T2 ON T1.CDSCode = T2.CDSCode WHERE T2.County = 'Monterey' AND T1.`Free Meal Count (Ages 5-17)` > 800 AND T1.`School Type` = 'High Schools (Public)'",248,True,Arctic-Text2SQL-R1-7B,5,5,State the names and full communication address of high schools in Monterey which has more than 800 free or reduced price meals for ages 15-17?,142,pass_k,bird_26,results/raw/Arctic-Text2SQL-R1-7B_bird_pass_k_20260326_223940.jsonl
